loss	cls_a	cls_b
0.0000000000	{'AAIP6----3A----'}	{'CrIP6----------'}
0.0000025316	{'J^------------8'}	{'NNNXX-----A---8'}
0.0000119239	{'AAFS6----2A----'}	{'PSFS6-P1-------'}
0.0000200237	{'PJXP2----------'}	{'Vi-P---1--N----'}
0.0000227285	{'AAIP3----3A----'}	{'AGIP3-----A----'}
0.0000233163	{'PSXP6-P1-------'}	{'PZXP6----------'}
0.0000236270	{'AGFP6-----A----'}	{'PLXP6----------'}
0.0000261141	{'AGFS7-----A----'}	{'PSFS7-P1-------'}
0.0000278751	{'AAFP7----1N----'}	{'AAFP7----2A----'}
0.0000278855	{'AAIS6----1N----'}	{'AAIS6----3A----'}
0.0000292075	{'ClFS3----------'}	{'PDFS3----------'}
0.0000292523	{'AANP6----1A----'}	{'CrNP6----------'}
0.0000304738	{'PSZS6-P1-------'}	{'PSZS6FS3-------'}
0.0000315302	{'AAFS6----3A----'}	{'PDFS6----------'}
0.0000322668	{'P1ZS1FS3-------'}	{'PE--4----------'}
0.0000330658	{'AAFS7----1N----'}	{'AUFS7M---------'}
0.0000338267	{'AAFS6----1N----'}	{'ClFS6----------'}
0.0000346557	{'AAIP7----1N----'}	{'PZXP7----------'}
0.0000366854	{'AAMS7----3A----'}	{'PSZS7-S1-------'}
0.0000400292	{'AAIP4----3A----'}	{'AGIP4-----A----'}
0.0000401443	{'PWNS1----------'}	{'PZNS1----------'}
0.0000405428	{'PJFS3----------'}	{'PQ--3----------'}
0.0000411148	{'P4XP3----------'}	{'PJZS7----------'}
0.0000419722	{'AANS7----1N----'}	{'AGNS7-----A----'}
0.0000422781	{'NNNSX-----A----'}	{'PW--6----------'}
0.0000435062	{'Dg-------1A---1'}	{'NNFS7-----N----'}
0.0000436869	{'P5ZS2--3------1'}	{'P9ZS2----------'}
0.0000448328	{'AANS6----3A----'}	{'CrNS6----------'}
0.0000448586	{'AAIP1----2A----'}	{'AUIP1M---------'}
0.0000448855	{'AANP4----1A----'}	{'P8NP4---------1'}
0.0000452368	{'CrIS6----------'}	{'PWZS6----------'}
0.0000453532	{'AAMS2----1N----'}	{'AGMS2-----A----'}
0.0000460192	{'AANS3----2A----'}	{'CrNS3----------'}
0.0000464415	{'NNNP1-----A---2'}	{'VB-S---2P-NA---'}
0.0000469465	{'P5XP2--3-------'}	{'P9FS2----------'}
0.0000492231	{'AANS4----3A----'}	{'AGNS4-----A----'}
0.0000494815	{'AANS4----2A----'}	{'PSNS4-P1-------'}
0.0000500811	{'AGNP1-----A----'}	{'PZNP1----------'}
0.0000501382	{'AAMP2----2A----'}	{'AAMP2----3A----'}
0.0000511197	{'VB-P---2F-AA---'}	{'VB-S---1F-NA---'}
0.0000511727	{'PE--7----------'}	{'PJYS1----------'}
0.0000515758	{'AAMP1----2A----'}	{'PSXP1FS3-------'}
0.0000517696	{'CrMS7----------'}	{'PSZS7FS3-------'}
0.0000525698	{'AUNS2M---------'}	{'CrNS2----------'}
0.0000534431	{'P5FS3--3-------'}	{'P5XP3--3-------'}
0.0000535425	{'PSHS1-P1-------'}	{'PSHS1-S1-------'}
0.0000543324	{'AGFP7-----A----'}	{'Ca--7----------'}
0.0000550026	{'P6-X2----------'}	{'PP-S2--1-------'}
0.0000551614	{'P6-X7----------'}	{'PZM-7----------'}
0.0000562054	{'AAIS1----1A---6'}	{'VpYS---XR-NA--1'}
0.0000562201	{'PLZS7----------'}	{'PSZS7-P1-------'}
0.0000563863	{'CrIS4----------'}	{'PSIS4-P1-------'}
0.0000570874	{'P8XP2----------'}	{'PSXP2FS3-------'}
0.0000573873	{'AGFS6-----A----'}	{'P4FS6----------'}
0.0000582170	{'AGNS6-----A----'}	{'PLZS6----------'}
0.0000583679	{'P8FS4----------'}	{'VsFS4--XX-AP---'}
0.0000584776	{'AAIP2----2A----'}	{'AAIP2----3A----'}
0.0000589883	{'AAFP4----3A----'}	{'PZNS4----------'}
0.0000596556	{'P4FS4----------'}	{'P4MS4----------'}
0.0000600121	{'Cn-P3----------'}	{'PZ--3----------'}
0.0000601000	{'P4FS2----------'}	{'P4ZS2----------'}
0.0000602321	{'AGMP4-----A----'}	{'CdXS1----------'}
0.0000603486	{'NNFS2-----A---1'}	{'NNFS2-----N----'}
0.0000614922	{'CrFP6----------'}	{'PZFS6----------'}
0.0000634077	{'NNNP4-----A---2'}	{'PKM-4----------'}
0.0000641901	{'AGIS7-----A----'}	{'CrIS7----------'}
0.0000651273	{'AAMS2----3A----'}	{'NNMXX-----A----'}
0.0000654746	{'AAMS1----3A----'}	{'CrMS1----------'}
0.0000658433	{'CyFS4----------'}	{'NNNS4-----N----'}
0.0000660534	{'PLIP1----------'}	{'PWIP1----------'}
0.0000669224	{'PDNP1----------'}	{'PWFP1----------'}
0.0000674668	{'AANS2----2A----'}	{'AGNS2-----A----'}
0.0000681776	{'AAMS4----2A----'}	{'ClMS4----------'}
0.0000687291	{'P8XP7----------'}	{'PSXP7FS3-------'}
0.0000689498	{'PSHP1-P1-------'}	{'PSHP1-P2-------'}
0.0000694154	{'P6-X3----------'}	{'PPZS3--3-------'}
0.0000698006	{'P4FS7----------'}	{'P9ZS7----------'}
0.0000700787	{'PH-S4--2-------'}	{'PWM-4----------'}
0.0000715509	{'AAMS1----1N----'}	{'AUMS1M---------'}
0.0000715802	{'PP-P2--2-------'}	{'PQ--2----------'}
0.0000715803	{'P5FS6--3-------'}	{'PQ--6----------'}
0.0000718403	{'AGNP6-----A----'}	{'Ca--6----------'}
0.0000724294	{'AAIP4----1N----'}	{'PZYP4----------'}
0.0000725512	{'Dg-------2A---2'}	{'VpQW---XR-NA--1'}
0.0000744865	{'PE--1----------'}	{'PJNS1----------'}
0.0000749928	{'CrIP1----------'}	{'PZIP1----------'}
0.0000753463	{'AAIP7----3A----'}	{'AUFP1M---------'}
0.0000754053	{'AUIP2M---------'}	{'CrIP2----------'}
0.0000755872	{'AAIS2----2A----'}	{'AGIS2-----A----'}
0.0000768432	{'P4XP7----------'}	{'PP-S7--1-------'}
0.0000797529	{'PSZS2-S1-------'}	{'PZZS2----------'}
0.0000813563	{'P1FSXFS3-------'}	{'PJZS3----------'}
0.0000819937	{'AAIS7----3A----'}	{'AUIS7M---------'}
0.0000828112	{'AAFP2----2A----'}	{'AUFP2M---------'}
0.0000830318	{'CyFS1----------'}	{'PLZS3----------'}
0.0000840289	{'PLNS4---------1'}	{'PZZS7----------'}
0.0000850275	{'NNNS6-----A---1'}	{'P4ZS6----------'}
0.0000851249	{'CrFP4----------'}	{'PLNP4----------'}
0.0000852081	{'AAFS4----3A----'}	{'AUFS4M---------'}
0.0000869200	{'NNIS3-----A---1'}	{'RV--3---------1'}
0.0000870036	{'AAFS2----2A----'}	{'AAFS2----3A----'}
0.0000875880	{'PDIP4----------'}	{'PWYP4----------'}
0.0000897346	{'PSYS1-S1-------'}	{'PZYS1----------'}
0.0000897356	{'AAFS7----3A----'}	{'PDFS7----------'}
0.0000910722	{'ClXP7----------'}	{'Cn-P7----------'}
0.0000930947	{'AGFP4-----A----'}	{'AGIS4-----A----'}
0.0000932797	{'AAIS4----3A----'}	{'ClIS4----------'}
0.0000955211	{'P5FS4--3-------'}	{'PZ--6----------'}
0.0000957162	{'VB-P---1F-AA---'}	{'VB-S---1F-AA---'}
0.0000962290	{'AAIP1----3A----'}	{'PDIP1----------'}
0.0000973204	{'P4NP1----------'}	{'P4ZS3----------'}
0.0000986868	{'AAIS1----3A----'}	{'PWYS1----------'}
0.0000997888	{'P4XP6----------'}	{'P9XP6----------'}
0.0001004363	{'AAMS6----1A----'}	{'NNMS6-----A---1'}
0.0001010088	{'P8XP3----------'}	{'PZXP3----------'}
0.0001010541	{'PKM-3----------'}	{'PLNS1----------'}
0.0001017750	{'AUFS6M---------'}	{'CrFS6----------'}
0.0001018643	{'AGNP2-----A----'}	{'CrNP2----------'}
0.0001028101	{'CyFP1----------'}	{'NNISX-----A----'}
0.0001031578	{'AANP1----1A----'}	{'CrNP1----------'}
0.0001033408	{'AAIS4----1N----'}	{'AAIS4----2A----'}
0.0001046608	{'AUNS6M---------'}	{'ClZS6----------'}
0.0001058926	{'PLZS2----------'}	{'PSZS2FS3-------'}
0.0001064313	{'J,-S---1-------'}	{'P4NS4----------'}
0.0001066341	{'PPZS7--3-------'}	{'VB-S---3P-AA--1'}
0.0001116084	{'NNFP2-----A---1'}	{'NNFS7-----A---1'}
0.0001120742	{'P5ZS2--3-------'}	{'P9XP2----------'}
0.0001120974	{'AAIS2----1N----'}	{'AAIS2----3A----'}
0.0001129496	{'AANS4----1N----'}	{'CrNS4----------'}
0.0001144598	{'PWFS1----------'}	{'PZFS1----------'}
0.0001155342	{'P8MS4----------'}	{'PDMS4----------'}
0.0001177604	{'AAFP1----2A----'}	{'ACTP------A----'}
0.0001178523	{'AAFP2----3A----'}	{'PSXP2-P1-------'}
0.0001188415	{'P5XP7--3-------'}	{'PP-P7--1-------'}
0.0001207215	{'Co-------------'}	{'Vc-P---2-------'}
0.0001208995	{'AAFS4----1N----'}	{'PZFS4----------'}
0.0001209604	{'ClZS3----------'}	{'NNMP2-----A---1'}
0.0001213059	{'AAFP4----1N----'}	{'PSXP4-P1-------'}
0.0001252229	{'ClXP3----------'}	{'PLXP3----------'}
0.0001258635	{'ClHP4----------'}	{'PZFP4----------'}
0.0001268866	{'PZM-4----------'}	{'VB-P---2P-NA---'}
0.0001311519	{'P5XP6--3-------'}	{'P9FS6----------'}
0.0001326138	{'J,-P---1-------'}	{'PJXP1----------'}
0.0001357042	{'AAFS1----1N----'}	{'PLFS1----------'}
0.0001368099	{'ClFS4----------'}	{'PWFS4----------'}
0.0001374173	{'ClXP6----------'}	{'Cn-P6----------'}
0.0001375302	{'AGMP1-----A----'}	{'PSMP1-P1-------'}
0.0001379918	{'ClFS2----------'}	{'CrFS2----------'}
0.0001400521	{'Dg-------1A---3'}	{'PP-S3--1-------'}
0.0001409213	{'P5ZS4--3-------'}	{'P6-X4----------'}
0.0001433124	{'P4XP2----------'}	{'P5FS2--3-------'}
0.0001435182	{'AGIS6-----A----'}	{'AUIS6M---------'}
0.0001452653	{'C?--4----------'}	{'Vi-P---2--N----'}
0.0001466602	{'AANS1----1N----'}	{'AANS1----2A----'}
0.0001476102	{'AUIS1M---------'}	{'PSZS1FS3-------'}
0.0001480281	{'AAMP1----1N----'}	{'AAMP1----3A----'}
0.0001481053	{'AUIS2M---------'}	{'CrIS2----------'}
0.0001493278	{'AAMS1----2A----'}	{'AGMS1-----A----'}
0.0001530768	{'AGFP1-----A----'}	{'PZFP1----------'}
0.0001540344	{'P8FP4---------1'}	{'PWFP4----------'}
0.0001543932	{'AAIP2----1N----'}	{'AGIP2-----A----'}
0.0001548833	{'P8IS4----------'}	{'PZIS4----------'}
0.0001553310	{'AAFP1----3A----'}	{'PLFP1----------'}
0.0001558394	{'NNFS1-----N----'}	{'NNIP2-----A---1'}
0.0001562767	{'ClNS1----------'}	{'Dg-------3A---1'}
0.0001591005	{'NNFP1-----N----'}	{'NNMP6-----A----'}
0.0001621647	{'ACQW------A----'}	{'PLNS4----------'}
0.0001624014	{'J^------------1'}	{'PQ--7----------'}
0.0001629288	{'AAFS2----1N----'}	{'AUFS2M---------'}
0.0001636882	{'AANS1----3A----'}	{'PLNS1---------1'}
0.0001639361	{'P5ZS6--3-------'}	{'P6-X6----------'}
0.0001639512	{'NNIS5-----A----'}	{'RR--X----------'}
0.0001682302	{'A2--------A----'}	{'AAXXX----1A---8'}
0.0001693610	{'AAIP1----1N----'}	{'AGIP1-----A----'}
0.0001694397	{'CrFS4----------'}	{'PSFS4-P1-------'}
0.0001699385	{'II-------------'}	{'PP-P1--2-------'}
0.0001720685	{'P8YP4---------1'}	{'PLYP4----------'}
0.0001739179	{'VB-P---3F-NA---'}	{'VB-P---3P-NA--1'}
0.0001760231	{'NNFS4-----N----'}	{'PDMP4----------'}
0.0001768035	{'AAIS1----1N----'}	{'AAIS1----2A----'}
0.0001812218	{'Vi-P---1--A----'}	{'Vi-P---2--A----'}
0.0001813902	{'AAMP2----1N----'}	{'AGMP2-----A----'}
0.0001821653	{'P1XXXZS3-------'}	{'PJYS2----------'}
0.0001837684	{'AAIS7----1N----'}	{'PDXP7----------'}
0.0001846459	{'CrFP1----------'}	{'NNNS1-----N----'}
0.0001859916	{'AUNS1M---------'}	{'CrNS1----------'}
0.0001905438	{'VB-S---1P-NA--1'}	{'VB-S---2P-AA---'}
0.0001922884	{'P1XXXXP3-------'}	{'P1ZS1FS3-------', 'PE--4----------'}
